customer_id,total_spend,avg_spend,total_bookings,avg_rating,total_cancellation,recency_days,churn,churn_probability
1000,507,507,1,4.6,0,244,1,1
1001,957,319,3,3.975,0,42,0,0
1002,1034,517,2,3.95,0,339,1,1
1003,319,319,1,2.7,0,355,1,1
1004,169,169,1,3.1,0,167,1,1
1005,1958,979,2,3.2,0,3,0,0
1006,910,910,1,2.9,0,327,1,1
1007,1208,402.6666667,3,3.833333333,0,54,0,0.01
1009,4918,1639.333333,3,3.8,0,36,0,0
1010,429,214.5,2,3.533333333,0,147,1,1
1011,808,161.6,5,3.98,0,78,0,0
1012,0,,0,4.4,0,172,1,1
1013,1799,899.5,2,3.7,0,61,0,0
1015,1019,509.5,2,4.55,0,3,0,0
1016,219,109.5,2,3.966666667,0,112,1,1
1018,8165,1166.428571,7,3.8875,0,63,0,0.01
1019,369,369,1,3.9,0,75,0,0.03
1020,119,119,1,3.1,0,62,0,0
1021,5435,905.8333333,6,4.033333333,0,240,1,0.99
1022,448,224,2,4.35,0,193,1,1
1024,4329,1443,3,3.525,0,81,0,0
1025,2500,2500,1,2.6,0,157,1,1
1027,519,259.5,2,4.65,0,29,0,0
1028,169,84.5,2,3.766666667,0,131,1,0.99
1029,269,269,1,4.3,0,351,1,1
1030,0,,0,4.5,0,345,1,1
1032,90,90,1,4,0,282,1,1
1034,0,,0,4.3,0,7,0,0
1035,696,174,4,3.16,0,50,0,0
1036,139,139,1,3.15,0,41,0,0.01
1037,4000,4000,1,3.8,0,92,1,0.99
1038,5708,1902.666667,3,3.44,0,16,0,0
1039,2034,508.5,4,3.46,0,111,1,0.99
1040,768,384,2,3.85,0,73,0,0
1041,199,199,1,3.4,0,219,1,1
1042,2992,598.4,5,3.216666667,0,3,0,0
1043,599,599,1,3.7,0,252,1,1
1044,148,148,1,2.7,0,298,1,1
1045,179,179,1,4.7,0,109,1,1
1046,768,384,2,2.8,0,29,0,0
1047,4000,4000,1,3.95,0,146,1,1
1048,0,,0,4.2,0,285,1,1
1049,818,272.6666667,3,4.433333333,0,51,0,0
1050,4348,1449.333333,3,3.7,0,41,0,0
1052,309,154.5,2,4.45,0,230,1,0.99
1053,79,79,1,3.5,0,37,0,0.01
1054,478,239,2,3.666666667,0,85,0,0
1055,4000,4000,1,3.4,0,58,0,0
1056,119,119,1,3.6,0,358,1,1
1057,129,129,1,3.4,0,363,1,0.99
1058,1500,1500,1,4.2,0,358,1,1
1059,399,399,1,3.45,0,48,0,0.02
1060,984,328,3,3.15,0,12,0,0
1062,6648,2216,3,3.8,0,38,0,0
1063,0,,0,2.7,0,84,0,0
1064,565,565,1,3.9,0,85,0,0
1066,99,99,1,3.85,0,56,0,0
1067,4199,2099.5,2,3.6,0,15,0,0
1068,207,103.5,2,3.866666667,0,172,1,1
1070,0,,0,3.8,0,62,0,0
1071,698,349,2,3.975,0,9,0,0
1072,1624,541.3333333,3,3.8,0,167,1,1
1074,289,144.5,2,3.866666667,0,134,1,1
1075,148,148,1,3.633333333,0,27,0,0.01
1076,348,174,2,3.1,0,111,1,1
1077,0,,0,3.55,0,134,1,1
1078,179,179,1,4.4,0,232,1,1
1079,150,150,1,4.8,0,210,1,1
1081,1007,335.6666667,3,4.033333333,0,67,0,0
1082,1546,386.5,4,3.45,0,246,1,1
1083,599,599,1,3.5,0,163,1,1
1085,709,709,1,4.1,0,59,0,0.01
1086,438,219,2,4.033333333,0,45,0,0
1087,65,65,1,4.3,0,175,1,1
1089,2228,742.6666667,3,3.64,0,98,1,1
1090,0,,0,3.7,0,56,0,0
1091,1499,1499,1,4.6,0,339,1,1
1092,1138,379.3333333,3,3.733333333,0,104,1,1
1094,348,174,2,3.3,0,211,1,1
1095,0,,0,3,0,21,0,0
1097,0,,0,3.25,0,14,0,0
1098,0,,0,2.8,0,358,1,1
1099,0,,0,2.7,0,323,1,1
1101,599,599,1,3.45,0,139,1,1
1102,0,,0,3.5,0,171,1,1
1103,1136,284,4,3.875,0,151,1,0.99
1104,1076,358.6666667,3,3.95,0,47,0,0
1105,2308,1154,2,4,0,264,1,1
1106,189,189,1,3.7,0,332,1,1
1107,179,179,1,2.9,0,364,1,1
1108,1199,1199,1,3.5,0,293,1,1
1109,839,839,1,3,0,34,0,0
1110,0,,0,3.85,0,174,1,1
1111,75,75,1,3.2,0,228,1,1
1112,699,233,3,3.6,0,84,0,0
1113,139,139,1,2.9,0,244,1,1
1114,2148,1074,2,3.05,0,81,0,0
1115,388,129.3333333,3,3.65,0,27,0,0
1116,4800,2400,2,3.866666667,0,149,1,1
1117,238,119,2,3.8,0,126,1,0.99
1118,4650,2325,2,3.6,0,122,1,1
1119,200,200,1,3.7,0,207,1,0.99
1120,0,,0,3,0,342,1,1
